capture_us,arm_x,arm_z,claw
1787986337866876,0,0,128
1787986337887289,0,0,128
1787986337906520,0,0,128
1787986337927137,0,0,128
1787986337946490,0,0,128
1787986337967460,0,0,128
1787986337986741,0,0,128
1787986338007281,0,0,128
1787986338027247,0,0,128
1787986338046515,0,0,128
1787986338067056,0,0,128
1787986338087124,0,0,128
1787986338107105,0,0,128
1787986338126855,0,0,128
1787986338146930,0,0,128
1787986338167188,0,0,128
1787986338187103,0,0,128
1787986338207148,0,0,128
1787986338227181,0,0,128
1787986338247099,0,0,128
1787986338267286,0,0,128
1787986338287156,0,0,128
1787986338306643,0,0,128
1787986338327400,0,0,128
1787986338350571,0,0,128
1787986338372054,0,0,128
1787986338391551,0,0,128
1787986338411842,0,0,128
1787986338431921,0,0,128
1787986338451525,0,0,128
1787986338471809,0,0,128
1787986338492254,0,0,128
1787986338512396,0,0,128
1787986338531764,0,0,128
1787986338551792,0,0,128
1787986338571639,0,0,128
1787986338591954,0,0,128
1787986338611921,0,0,128
1787986338631619,0,0,128
1787986338652163,0,0,128
1787986338672368,0,0,128
1787986338691971,0,0,128
1787986338712401,0,0,128
1787986338732144,0,0,128
1787986338752451,0,0,128
1787986338772384,0,0,128
1787986338792569,0,0,128
1787986338812163,0,0,128
1787986338831996,0,0,128
1787986338851523,0,0,128
1787986338872177,0,0,128
1787986338892123,0,0,128
1787986338911524,0,0,128
1787986338932013,0,0,128
1787986338952163,0,0,128
1787986338971608,0,0,128
1787986338991999,0,0,128
1787986339011665,0,0,128
1787986339031731,0,0,128
1787986339052380,0,0,128
1787986339072197,0,0,128
1787986339091685,0,0,128
1787986339111598,0,0,128
1787986339132102,0,0,128
1787986339152177,0,0,128
1787986339172200,0,0,128
1787986339191492,0,0,128
1787986339211988,0,0,128
1787986339232249,0,0,128
1787986339252317,0,0,128
1787986339271951,0,0,128
1787986339291974,0,0,128
1787986339311959,0,0,128
1787986339331707,0,0,128
1787986339351865,0,0,128
1787986339372543,0,0,128
1787986339391879,0,0,128
1787986339412192,0,0,128
1787986339432497,0,0,128
1787986339452288,0,0,128
1787986339472099,0,0,128
1787986339492159,0,0,128
1787986339511672,0,0,128
1787986339531566,0,0,128
1787986339551502,0,0,128
1787986339571448,0,0,128
1787986339591771,0,0,128
1787986339612113,0,0,128
1787986339632289,0,0,128
1787986339652317,0,0,128
1787986339672458,0,0,128
1787986339691555,0,0,128
1787986339712337,0,0,128
1787986339731684,0,0,128
1787986339752039,0,0,128
1787986339772095,0,0,128
1787986339791797,0,0,128
1787986339811638,0,0,128
1787986339831882,0,0,128
1787986339852111,0,0,128
1787986339871659,0,0,128
1787986339892385,0,0,128
1787986339912331,0,0,128
1787986339931690,0,0,128
1787986339952340,0,0,128
1787986339971725,0,0,128
1787986339991802,0,0,128
1787986340012412,0,0,128
1787986340032219,0,0,128
1787986340052404,0,0,128
1787986340071850,0,0,128
1787986340092004,0,0,128
1787986340111626,0,0,128
1787986340132096,0,0,128
1787986340151795,0,0,128
1787986340172360,0,0,128
1787986340192241,0,0,128
1787986340211857,0,0,128
1787986340231496,0,0,128
1787986340251940,0,0,128
1787986340271665,0,0,128
1787986340291866,0,0,128
1787986340312353,0,0,128
1787986340332213,0,0,128
1787986340352360,0,0,128
1787986340371984,0,0,128
1787986340392443,0,0,128
1787986340412262,0,0,128
1787986340431998,0,0,128
1787986340451808,0,0,128
1787986340472337,0,0,128
1787986340491671,0,0,128
1787986340512491,0,0,128
1787986340531829,0,0,128
1787986340552152,0,0,128
1787986340571821,0,0,128
1787986340591597,0,0,128
1787986340611552,0,0,128
1787986340632223,0,0,128
1787986340652429,0,0,128
1787986340672279,0,0,128
1787986340691617,0,0,128
1787986340712009,0,0,128
1787986340732220,0,0,128
1787986340752263,0,0,128
1787986340771607,0,0,128
1787986340792364,0,0,128
1787986340811698,0,0,128
1787986340832266,0,0,128
1787986340851531,0,0,128
1787986340871975,0,0,128
1787986340892102,0,0,128
1787986340911872,0,0,128
1787986340932325,0,0,128
1787986340951666,0,0,128
1787986340971634,0,0,128
1787986340992270,0,0,128
1787986341011767,0,0,128
1787986341031870,0,0,128
1787986341052542,0,0,128
1787986341072293,0,0,128
1787986341091877,0,0,128
1787986341112065,0,0,128
1787986341132132,0,0,128
1787986341152338,0,0,128
1787986341171748,0,0,128
1787986341191967,0,0,128
1787986341212016,0,0,128
1787986341232125,0,0,128
1787986341252100,0,0,128
1787986341272339,0,0,128
1787986341292530,0,0,128
1787986341311522,0,0,128
1787986341331800,0,0,128
1787986341352214,0,0,128
1787986341372049,0,0,128
1787986341391498,0,0,128
1787986341411724,0,0,128
1787986341432099,0,0,128
1787986341452199,0,0,128
1787986341471716,0,0,128
1787986341492516,0,0,128
1787986341511884,0,0,128
1787986341531831,0,0,128
1787986341551890,0,0,128
1787986341571634,0,0,128
1787986341591585,0,0,128
1787986341611810,0,0,128
1787986341632382,0,0,128
1787986341651656,0,0,128
1787986341671722,0,0,128
1787986341691782,0,0,128
1787986341711823,0,0,128
1787986341731677,0,0,128
1787986341752441,0,0,128
1787986341772394,0,0,128
1787986341792377,0,0,128
1787986341812053,0,0,128
1787986341831652,0,0,128
1787986341852121,0,0,128
