capture_us,seq,tick_id,region_id,battery,roll,pitch,yaw,motors
1787986326790796,104785,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326810913,104795,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326831392,104804,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326855682,104813,0,255,94,-0.61,0.92,5.73,4.82;37.29;0.59;4.35;39.18;-0.35;1.53;46.71;-0.59;2.94;45.45;0.35;0.25;-10.35;9.41
1787986326870675,104822,0,255,94,-0.61,0.92,5.73,4.82;37.29;0.59;4.35;39.18;-0.35;1.53;46.71;-0.59;2.94;45.45;0.35;0.25;-10.35;9.41
1787986326892705,104831,0,255,94,-0.61,0.92,5.73,4.82;37.29;0.59;4.35;39.18;-0.35;1.53;46.71;-0.59;2.94;45.45;0.35;0.25;-10.35;9.41
1787986326912661,104840,0,255,94,-0.61,0.92,5.73,4.82;37.29;0.59;4.35;39.18;-0.35;1.53;46.71;-0.59;2.94;45.45;0.35;0.25;-10.35;9.41
1787986326931169,104849,0,255,94,-0.61,0.92,5.73,4.82;37.29;0.59;4.35;39.18;-0.35;1.53;46.71;-0.59;2.94;45.45;0.35;0.25;-10.35;9.41
1787986326955587,104858,0,255,94,-0.61,0.92,5.73,4.82;37.29;0.59;4.35;39.18;-0.35;1.53;46.71;-0.59;2.94;45.45;0.35;0.25;-10.35;9.41
1787986326975550,104867,0,255,94,-0.61,0.92,5.73,4.82;37.29;0.59;4.35;39.18;-0.35;1.53;46.71;-0.59;2.94;45.45;0.35;0.25;-10.35;9.41
